id,name,text,trans,,,
2009006030100,果穂,"スケジュールは白で、レッスンで教わったことはピンク
お仕事であったことは黄緑のページです！","스케쥴은 하양으로,  레슨으로 배운 것은 핑크.
일 했던 건 황녹색의 페이지에요!",,,
2009006030110,果穂,ちなみに、赤のページは読みにくかったですっ,"덧붙여서, 빨간 페이지는 읽기 어려웠어요",,,
0000000000000,プロデューサー,はは、確かに目がチカチカしそうだな,"하하, 확실히 눈이 따끔거릴 것 같구나",,,
0000000000000,プロデューサー,"でも、そうやって内容ごとに紙の色を変えておくと
後で探す時に便利だもんな","하지만, 그렇게 내용마다 종이의 색을 바꾸어 놓으면
나중에 찾을 때 편리하겠네",,,
2009006030120,果穂,"はい、スッゴく頼りになるスケジュール帳です！
あたしのお仕事の、つよーい味方なんです！","네, 엄청 의지가 되는 스케쥴 노트에요!
제 일의, 강한 아군이에요!",,,
0000000000000,プロデューサー,"いい相棒じゃないか
それに、自分で見やすいようにして……偉いな","좋은 파트너잖아
게다가, 스스로 보기좋게 만들어서......장하구나",,,
0000000000000,プロデューサー,よかったら、見せてもらってもいいか？,"괜찮다면, 보여줄 수 있겠니?",,,
2009006030130,果穂,はい！　どうぞ！,네! 자요!,,,
0000000000000,プロデューサー,どれどれ……,어디보자......,,,
2009006030140,果穂,…………,............,,,
2009006030150,果穂,ど、どうですか、プロデューサーさん……！,"어, 어떤가요, 프로듀서씨......!",,,
0000000000000,プロデューサー,"そうだな……
このスケジュール帳……","그렇구나......
이 스케쥴 노트......",,,
select,,俺も見習わないとな,나도 본받아야 겠는걸,,,
select,,シールが可愛いな,스티커 귀엽네,,,
select,,いつから使ってるんだ？,언제부터 쓰기 시작한거니?,,,
2009006030160,果穂,えっ、プロデューサーさんがあたしを……ですか！？,"엣, 프로듀서씨가 저를......말인가요!?",,,
0000000000000,プロデューサー,"ああ
このノート、しっかりと情報が整理されてるんだ","응
이 노트, 제대로 정보가 정리되어 있구나",,,
0000000000000,プロデューサー,"１ページ１ページ、
果穂の仕事に対する想いが伝わってくるよ","한장 한장,
카호가 일을 대하는 마음이 전혀져 오네",,,
2009006030170,果穂,"はい……！
想い、いっぱい詰まってます！","네......!
마음, 잔뜩 담겨있어요!",,,
2009006030180,果穂,"予定を書く時、お仕事のことを考えて
スッゴく楽しみになるんですけど……","예정을 쓸 때, 일에 대한거 생각하면
굉장히 즐거워져 버리지만요...",,,
2009006030190,果穂,"後から読み返すと、楽しかったお仕事のことを
思い出して、も～っと楽しくなるんです！","나중에 다시 읽으면, 즐거웠던 일을
생각해내니까, 더욱 더 즐거워져요!",,,
0000000000000,プロデューサー,"そうか……
そんな果穂の気持ちが、このノートからは溢れてるんだな","그런가......
그런 카호의 마음이, 이 노트에 넘치는 거구나",,,
2009006030200,果穂,"えへへ、なんだか照れちゃいます……
けど、スゴくうれしいです！","에헤헤, 왠지 쑥쓰럽네요......
그렇지만, 엄청 기뻐요!",,,
0000000000000,プロデューサー,"それで、俺も果穂を見習って
もっと仕事に対して真剣になろうって思ったんだ","거기다가, 나도 카호를 본받아서
더욱 일에 대해서 진지하게 하자고 생각했단다",,,
2009006030210,果穂,プロデューサーさんも……,프로듀서씨도......,,,
2009006030220,果穂,"……えへへ！
あたしも、負けません！","......에헤헤!
저도, 지지 않을 거에요!",,,
2009006030230,果穂,"だってあたし、アイドルのお仕事……
大大、だーい好きですから！","왜냐면 저, 아이돌 일......
엄청 엄청 , 어어어엄청 좋아하니까요!",,,
2009006030240,果穂,"わあっ！　プロデューサーさんもそう思いますか！？
かわいいシールを貼ると、なんだか楽しくなるんです！","와앗! 프로듀서씨도 그렇게 생각하시나요!?
귀여운 스티커를 붙이면, 왠지 즐거워져요!",,,
0000000000000,プロデューサー,"なるほどな
それで色んなシールが貼ってあるのか","그렇구나
그래서 여러가지 스티커를 붙인 거구나 ",,,
2009006030250,果穂,"はいっ！　あと、学校の友達とシールを
交換したりするんです！","넵! 그리고, 학교 친구랑 스티커를
교환하거나 해요!",,,
2009006030260,果穂,"交換したシールは、この最後の……
シールを貼って剥がせるページにとっとくんです！","교환한 스티커는, 이 마지막의......
스티커를 붙여서 ",,"이말이 뭔말인지
도저히 모르겠다",
0000000000000,プロデューサー,"はは、楽しそうだな
ん？　俺が果穂を学校へ迎えに行く日も貼ってあるな",,,,
2009006030270,果穂,"お気に入りのシールを大事なところに貼ると
書いたことが覚えられるんです",,,,
0000000000000,プロデューサー,"そうか……
いろんな工夫がされた果穂流ノートってわけだな",,,,
2009006030280,果穂,"果穂流……
はい、果穂流、ですっ！",,,,
2009006030290,果穂,"プロデューサーさんも、
果穂流に、これ、どうですか！？",,,,
0000000000000,プロデューサー,"ん？　……柴犬のシールか
もらっちゃっていいのか？",,,,
2009006030300,果穂,はい、おすそわけです！,,,,
0000000000000,プロデューサー,"ありがとう
果穂のおかげで、スケジュール管理がはかどりそうだよ",,,,
0000000000000,プロデューサー,"そうだ、せっかくだからこのシールは
果穂の予定のところに貼ることにしよう",,,,
2009006030310,果穂,"ありがとうございます！
えへへ、あたしの予定の、シール……",,,,
2009006030320,果穂,"それなら、プロデューサーさんのノート……
あたしのシールでいっぱいにしちゃいますっ！",,,,
0000000000000,プロデューサー,"ここまで使いこなしてるってことは
結構前からだよな？",,,,
2009006030330,果穂,"えっとですね
最初に書いたのは……",,,,
2009006030340,果穂,この日です！,,,,
0000000000000,プロデューサー,"これは──
果穂が初めて事務所に来た日か",,,,
2009006030350,果穂,"はいっ。アイドルを始める時に、お母さんが
お仕事用のノートを作ったら？　って言ってくれたんです",,,,
2009006030360,果穂,"それで、お母さんと一緒に買いに行って……
この手帳を選びました！",,,,
0000000000000,プロデューサー,"そうだったのか……
とってもいいアドバイスをもらったな",,,,
2009006030370,果穂,"えへへっ、あたしもそう思います
お仕事ノート作ってよかったです",,,,
0000000000000,プロデューサー,"ああ、そうだな
出会ってからのことがびっしり書かれてるし",,,,
0000000000000,プロデューサー,ひとつの思い出の形、にもなるもんな,,,,
2009006030380,果穂,"はい！　このページを開くたびに……
アイドルになった時のことを思い出します",,,,
2009006030390,果穂,"プロデューサーさんに声をかけられて、びっくりしたこと、
アイドルって何だろうって調べたこと……",,,,
2009006030400,果穂,"あの日から、あたしの毎日が、
全然違うものになったんです！",,,,
2009006030410,果穂,"だから、プロデューサーさんに出会った日のこと……
あたし、ずっとずーっと、忘れません！",,,,
info,produce_events/200900603.json,,,,,
译者,,,,,,
