ja,zh
ほら、プロデューサー、\n一緒に行きましょう,이봐요、프로듀서、\n함께 갑시다
このまま行きますよ！\n最後まで私に\nついてきてください！,이대로 가요! \n끝까지 나에게\n따라 와 주세요!
プロデューサー！　わたしね、\nプロデューサーが見ててくれる\nと、いーっぱい頑張れるんだ！,프로듀서! 나、\n프로듀서가 보고 있어서\n잔뜩 노력할 수 있어!
ステージでわたしの『楽しい』\nを歌うから！　プロデューサー\nも聴いててね──！,스테이지에서 나의 『즐거움』\n을 노래하기 때문에! 프로듀서\n도 들어줘─!
夏の恋は……\n太陽みたいに眩しいのかな？\nあ、夏が過ぎたらどうなるの？,여름의 사랑은……\n태양같이 눈부신 것인지? \n아、여름이 지나면 어떻게 되는 거야?
わたしね、星みたいに……\n……でも星よりも近くで、\nみんなを照らす光になりたい！,나、별같이……\n…… 하지만 별보다 근처의、\n모두를 비추는 빛이 되고 싶다!
誰かと一緒にご飯食べて、\nそいで美味しかねって言って\n……そういうのって幸せやね,누군가와 함께 밥 먹어、\n그래서 맛있다고 말해주면 \n…… 그러한 것은 행복이넹
今日……こん世界は、\nうちらの名を記憶する──,오늘…… 이 세계는、\n울덜의 이름을 기억한다─
ば～りばりのお姫様に\nなっちゃるけん──\n迎えにきてほしかぁ,빨~리 빨리 공주님이\n되었으니까─\n데리러와줭
征かんばね──\n大・航・海……──！,정복하렁─\n대·항·해……─!
遅かったですねー\n待ちくたびれちゃいましたぁ,늦었네요―\n기다리다 녹초가 되어 버렸습니다아
退屈な運命なんて興味ない\n……言ってる意味、\nわかりますよねー？,지루한 운명 같은거 흥미없는 \n…… 말하고 있는 의미、\n아시겠죠―?
白鳥！？　可愛い！　可愛いわ！　ねぇこれ使いましょうよ、プロデューサー……！,백조!? 귀엽다! 귀여워요! 응 이거 사용하죠、프로듀서……!
雨上がりの虹が見たいの\n一緒に来てくれる？,비가 갠 뒤의 무지개를 보고 싶은 데\n함께 와 줄래?
に、似合ってるならいいのよ…！\nアナタの期待に応えてみせるわ\nプロデューサー！,어、어울린다면 좋은거야…! \n당신의 기대에 응해 보여요\n프로듀서!
豪勇の特攻隊長、有栖川夏葉！\nさあ……道をあけなさい！\nテッペン、取らせてもらうわよ,호용 특공대장、아리스가와 나츠하! \n자…… 길을 비우세요! \n정상、차지해요
う～ん……こんなカンジかなぁ\nあ～！　でもそろそろ出ないと\n待たせちゃうよ～！,응…… 이런 느낌일까\n아~! 그렇지만 슬슬 나가지 않으면\n기다리게 해 버린다~!
みんなで咲かせたステージ\nすっごく素敵だったね☆,모두가 피운 스테이지\n굉장히 멋졌지☆
プロデューサーさん\nあのクラゲ、他のよりなんか\nふわふわしてるよ～☆,프로듀서씨\n그 해파리、다른 것보다 뭔가\n둥실둥실 하고 있다~☆
甘奈の未来\nプロデューサーさんとなら\nきっと素敵になるよね,아마나의 미래\n프로듀서씨와 함께라면\n반드시 멋지게 될거야
プロデューサーさんの、おかげで……\n甜花も、咲けたんだ……,프로듀서씨、덕분에……\n텐카도、필 수 있던 것이다……
今、この時間だけは\n──ふたり占め……なんて,지금、이 시간만은 \n─두 사람 점유……라는
今日のステージをたとえるなら\n開花の時──そんな気持ちです\n……ふふ、大げさでしょうか？,오늘의 스테이지를 비유한다면\n개화의 시기─그런 기분입니다 \n…… 후후、과장될까요?
この場所には……\n小さな幸せが、\nたくさんですね……！,이 장소에는……\n작은 행복이、\n많네요……!
神様も知らない　秘密の花園\n夜が明ける前に会いに来て──,신님도 모르는 비밀의 화원\n밤이 끝나기 전에 만나러 와서─
眩しい日差し、足をくすぐる波\nそこに集う人たちの笑顔……\n本当に、海は素晴らしいね,눈부신 햇볕、다리를 간질이는 물결\n거기에 모이는 사람들의 웃는 얼굴……\n정말로、바다는 훌륭하다
この場所に孤独はないよ\n私たちが歌い続ける限りね,이 장소에 고독은 없어\n우리가 계속 노래하는 한
カメラの前で、私はアイドルだ\nけれど、アナタが向けるカメラの前では……どうなのだろうか,카메라의 앞에서、나는 아이돌이다\n하지만、당신이 보내는 카메라의 앞에서는…… 어떨까
この青い空に沈もうか\n──その先に、まだ知らない色が待っているなら,이 푸른 하늘에 가라앉을까 \n─그 전에、아직 모르는 색이 기다리고 있다면
さぁて、Ｐたんはいつまで\nおふざけってことで\n流せるのかな～？,그런데、P땅는 언제까지\n장난이라는 것으로\n흘릴 수 있을까나~?
この先は三峰たちの時間だよ\n──振り落とされない覚悟はできてる？,이 앞은 미츠미네들의 시간이야 \n─떨어지지 않을 각오는 되었어?
プロデューサーさんの優しさが\n手にもほっぺにも\nあったかいです……！,프로듀서씨의 상냥함이\n손에도 볼에도\n따뜻합니다……!
お待たせしました！\nあなたのチョコアイドル、\nここに爆誕ですよ！,오래 기다리셨습니다! \n당신의 초콜렛 아이돌、\n여기에 폭탄이에요!
『両手に花』ならぬ、\n『両手にチョコ』です！\n……えへ、誤魔化せませんかね,『양 손에 꽃』안되면、\n『양손에 초콜렛』입니다! \n…… 에헤、속일 수 있지 않습니까
チョコレート番長、園田智代子\nナメてかかっちゃダメですよ？\n今日の私はビターですから,초콜릿 두목、소노다 치요코\n걸리면 안되요? \n오늘의 나는 비타이기 때문에
アタシこそ、\n自分のことばっかで……\nこのままじゃ、駄目だよな,나야말로、\n자신뿐……\n이대로는、안돼
アタシなりの青春……\nめいっぱい楽しむから、\n見ててくれよな！,나 나름의 청춘……\n힘껏 즐기기 때문에、\n보고 있어 줘!
クリスマスに浮かれて、風邪引\nいたりすんなよ！　体調管理も\n仕事のうちなんだからな……！,크리스마스에 들떠、감기라니\n봐주지 마! 컨디션 관리도\n일 인거니까……!
金色の猛獣、西城樹里！\nこの程度の相手……\nアタシひとりで楽勝だぜ！,금빛의 맹수、사이죠 쥬리! \n이 정도의 상대……\n나 혼자서 낙승이다!
幾百の……朱をくぐって……\n貴方さまのもとに……,기백의…… 주홍을 뚫고……\n당신 곁으로……
五色の革命……\nいざ……仕ります……,5색의 혁명……\n자…… 하옵니다……
あの時……下駄の鼻緒が……\n切れていなければ──,그 때…… 나막신의 끈이……\n끊어지지 않았으면─
群青き導火線、杜野凛世……\nふふ……\n発火まで……ゼロ秒です……,군청색 도화선、모리노린제……\n후후……\n발화까지…… 0초입니다……
聞こえますか……\nプロデューサーさん……,들립니까……\n프로듀서씨……
鉄よ……歌いなさい……\nあなたの小鳥のかわりに……,금속…… 노래하세요……\n당신의 작은 새 대신에……
アーマードタイプは、装甲を強化することで攻撃力もアップしてるんです！,아머드타입은、장갑을 강화하는 것으로 공격력도 올라가고 있습니다!
あたしたちが揃えば無敵です！\n一番スゴいアイドルを目指して……レッツゴー！　です！,우리가 모이면 무적입니다! \n최고의 아이돌을 목표로 해…… 렛츠 고! 입니다!
キラキラのシャボン玉……\nプロデューサーさんとだと、いつもよりキラキラして見えます,반짝반짝 비눗방울……\n프로듀서씨와 하니、평소보다 반짝반짝 합니다
紅蓮の英雄団長、小宮果穂！\n流星マメ丸号は、スッゴく速くて……とにかくスゴいんです！,홍련의 영웅 단장、코미야 카호! \n유성 마메마루호는、굉장하고 빠르고…… 어쨌든 굉장합니다!
プロデューサーさん\n見守っていてくれますか？,프로듀서씨\n지켜봐주실래요?
鳩さんとのんびりお話して\n一緒にいるのは、すごく\n楽しいんです,비둘기씨와 한가로이 이야기 하고\n함께 있는 것은、굉장히\n즐겁습니다
プロデューサーさんと\n一緒ならどこまでも頑張れ\nそうです,프로듀서씨와\n함께라면 어디까지라도 힘낼 수\n있을 것 같아요
はむっ……うん\nチョコ、甘くておいしいです！,하믓…… 응\n초콜렛、달콤하고 맛있습니다!
最近見つけた\nとってもおいしいチョコの\n食べ方なんですけど……,최근 찾아낸\n매우 맛있게 초콜렛을\n먹는 방법입니다만……
あっ、プロデューサーさん、\nお帰りなさい！,앗、프로듀서씨、\n어서 오세요!
……やっぱ、あれじゃあ\nバレンタイン用には\nカウントされなかったか……,… 역시、그건\n발렌타인용으로\n카운트 되지 않은건가…
……なんだよ\n人の顔をじろじろ\n見やがって……,……뭐야\n사람 얼굴을 뚜러져라\n쳐다보고……
アンタの言葉聞いてると、\nなんつーか自信がつくよ,너의 말을 들으면、\n왠지 자신감이 생겨
アタシはこれからもっと\n頑張ってく。アンタは\nしっかりサポートしてくれよ！,나는 지금부터 더\n힘낼게、너는\n제대로 서포터 해주라고!
プロデューサーさまに……\n見ていただける……\nそれだけで……,프로듀서님에게……\n보여지는 것……\n그것만으로……
凛世も……\n勉強中の身でございます……,린제도……\n공부중인 몸입니다……
貴方さまのため、\n邁進して、\n参ります,당신을 위해서、\n매진해、갑니다
いい？\n目指すならトップだけよ！,좋아? \n목표라 한다면 톱뿐이야!
おはよう、プロデューサー,안녕、프로듀서
……プロデューサー？\nどうしたの、ボーっとして,…… 프로듀서? \n무슨 일이야、멍-하니 있어
ね、プロデューサーさん\n甘奈、どうかな？,저기、프로듀서씨\n아마나、어떨까?
甜花ちゃんのこと考えてたんだ\n今頃何してるかな～って\n気になっちゃって,텐카쨩의 일 생각하고 있던 것이다\n지금쯤 어떻게 하고 있을까~라고\n신경이 쓰여 버려
プロデューサーさん、\n甘奈のこと、\nちゃんと見ててよね！,프로듀서씨、\n아마나의 일、\n제대로 봐줘!
挨拶は、プロデューサーさんに\n教えていただいた\n基本、ですから,인사는、프로듀서씨가\n가르쳐 준\n기본、그러니까
……私にできることがあったら\nなんでも、言ってくださいね,…… 제가 할 수 있는 일이 있으면\n뭐든지、말해 주세요
いつか、プロデューサーさんに\n本当に頼ってもらえるように\nなりたいなって……,언젠가、프로듀서씨가\n정말로 의지할 수 있게 되고\n싶은……
あはは、\nワクワクしてきたっす！,아하하、\n두근두근 해 왔슴다!
プロデューサーさん、この間\nすごい人見つけたんすよ！,프로듀서씨、요전에\n굉장한 사람을 찾았어요!
あ、どしたっすか？　\nプロデューサーさん？,아、무슨일입니까? \n프로듀서씨?
プロデューサーさんには……\nなんでもお見通しなんですね♡,프로듀서씨는……\n뭐든지 꿰뚫어 보는군요♡
ふゆは、どんなアイドルになれると思いますか？,후유는、어떤 아이돌이 될 수 있다고 생각합니까?
もっともっと、みんなに\n楽しい気持ちを届けられるよう頑張ります,좀더 좀더、모두에게\n즐거운 마음을 보내도록\n노력하겠습니다
プロデューサー？\nどうしました？,프로듀서? \n무슨 일입니까?
これから仕事だというのに\n気が緩んでいますよ！,지금부터 일이라고 하는데\n기분이 느슨해지고 있어요!
……プロデューサー、私\n成長できているんでしょうか？,…… 프로듀서、나\n성장하고 있습니까?
ほらほら、\nプロデューサー、早く行こ！,하라하라、\n프로듀서、빨리 가자!
プロデューサーが\nいてくれるから、\nどこまででも進めるよ！,프로듀서가\n있어 주기 때문에、\n어디까지라도 나아갈거야!
応援してもらえて、\nわたしすっごく嬉しいよ！,응원 해줘서、\n나 굉장히 기뻐요!
プロデューサー……\nありがと～！\nうちは平気たい！,프로듀서……\n고마웡~! \n나는 멀쩡혀!
おお……なるほど……！\n参考になるばい～！\nさすがプロデューサー！,오오…… 과연……! \n참고가 된다잉~! \n과연 프로듀서!
大船に乗ったつもりで\nうちにまかしとって！,커다란 배에 탑승한 기분으로\n나에게 맡겨줭!
あ、プロデューサー\nじゃないですかぁ\nどーしたんですかぁ？,아、프로듀서\n가 아닙니까\n무슨 일입니까?
ふわぁ～\nおはよーございまぁす\nまだ眠いですよー,후와~\n안녕하세요 \n아직 졸려요
私、悪い子ですからぁ、\nイタズラは好きですよー,나、나쁜 아이이기 때문에、\n장난은 좋아해요
やあ、私に何か用かな？,야아、나에게 무슨 용무일까?
これからも頼りに\nさせてもらうよ,앞으로도 의지하게\n해줄게
私をプロデュースするのは、\n楽しいかい？,나를 프로듀스하는 것은、\n즐거워?
それよりプロデューサー\n聞いて聞いて！,그것보다 프로듀서\n들어봐들어봐!
プロデューサーは心配性だなぁ\n三峰なら平気だって,프로듀서는 걱정 많은 성격이구나\n미츠미네라면 괜찮다고
プロデューサーは、アイドルを\nやる気にさせる天才かもね,프로듀서는、아이돌을\n하고 싶게 하는데 천재일지도
……ふふ、包帯、\nいつもより\n上手く巻けたかも……♪,…… 후후、붕대、\n평소보다\n능숙하게 감을 수 있었는지도……♪
行ってきます、\nプロデューサーさん！,갔다옵니다、\n프로듀서씨!
まき……まき……♪\n……ふふ,마킹…… 마킹……♪\n…… 후후
こんにちはーっ！,안녕하세요!
ヒーローみたいに\nなれるように、\n頑張りますっ！,히어로같이\n되도록、\n노력하겠습니닷!
ヒーローだって\n特訓して\n強くなっていくんです！,히어로처럼\n특훈해\n강해집니다!
ぷ、プロデューサーさん……\n今日は……えと、その……\n……なんでもない、です……,프、프로듀서씨……\n오늘은…… 저기、그……\n……아무것도 아니、에요……
なーちゃんは……\nいつも優しくて、元気で……\n甜花、大好き……,나쨩은……\n언제나 상냥하고、건강해……\n텐카、너무 좋아……
甜花……頑張りましゅ！,텐카…… 노력하겠습니다!
あ、プロデューサーさん……,아、프로듀서씨……
たーまやー……\n……たまやさんって、何屋さんなんだろ……,타-마야―……\n…… 타마야씨는、뭐하는 사람일까나……
やっぱ～、\nうちってゲーノー人の才能\nあるっぽくない？,역시~、\n나는 연예인의 재능\n있는거 같지않아?
ねぇねぇ、プロデューサー、\nちょっと聞いてよ～,있지있지、프로듀서、\n좀 들어봐요~
ガンガン行くからね？\n覚悟してよ、プロデューサー！,땅땅 가기때문에 \n각오해요、프로듀서!
プロデューサーさま、その……ゆく雲の『白き』……──よき日でございます……,프로듀서님、그… 흘러가는 구름이 『하얀』…좋은 날이옵니다…
ふふ……凛世も……持って参りました……感謝の日だと……聞いておりますゆえ……,후후… 린제도… 가지고 왔습니다… 감사의 날이라고…들었기 때문에……
にへへ……\nバニラも……チョコも……\n美味しい……,에헤헤……\n바닐라나…… 초콜렛도……\n맛있다……
帰りましょう……\nお日さまと……一緒に……,돌아갑시다……\n햇님과…… 함께……
…………\n何かを言うのは良くないね\nアナタに会えただけで十分さ,﻿………\n뭔지를 말하는건 좋지 않겠지\n당신과 만난것 만으로 충분해
ありがとう\nアナタはとても義理堅いね\n私も、次は応えなくては,고마워\n당신은 매우 의리가 있네\n나도、다음에는 보답할께
──……っと……\nあ、えっと……ありがとう\nこれは……嬉しい、ものだね,─…… 와……\n아、엣또…… 고마워\n이건…… 기쁜、것이네
ねぇＰたーん、三倍返しの\n法則って知ってる？　三峰、\nまだゼロなんだけどな～,저기 P땅、3배 반환의\n법칙 알고 있어? 미츠미네\n아직 제로인 상태인데 말야~
三峰ももらっていいの？\nやったラッキー♪\nさすがＰたん、マメだよねぇ,미츠미네 받아도 좋은거야? \n와 럭키─♪\n과연 P땅、성실하네
こんなちゃんとしたもの\nくれなくてもよかったのに\n……嬉しい。ありがとう,이런 제대로 된 거\n주지 않아도 괜찮은데 \n……기뻐. 고마워요
気にしないでください……アーモンドさんたちと……お友達に……なってもらえればって……,신경쓰지 말아주세요… 아몬드씨들과… 친구가… 되어주었으면 해서요…
プロデューサーさん……！　ふふ……それじゃ……アーモンドチョコ……どうぞ……,프로듀서씨…! 후후… 그러면… 아몬드 초콜렛… 받아 주세요…
わ……ありがとうございます……ふふ……きっと……とっても……優しいお菓子……,와… 감사합니다… 후후… 무척이나… 상냥한 과자…
今日は学校でたっくさんクッ\nキーを配りました！\nお返しの日！　です！,오늘은 학교에서 잔뜩\n쿠키를 나눠줬습니다! \n답례하는 날! 이에요!
お菓子！　美味しそうです！\nえっ食べてもいいんですか？\nえへへ、いただきまーす！,과자! 맛있어 보여요! \n어 먹어도 되나요? \n에헤헤、잘 먹겠습니다!
バレンタインのお返し……！\nスッゴくスッゴくうれしいで\nす！　開けていいですか！？,발렌타인의 답례……! \n진짜 진짜 기뻐요\n받아도 되나요!?
もちろん、ホワイトデーも\nチョコ装備です！　お返し、\n配らなきゃですからね！,물론、화이트데이도\n쵸코 장비완료예요! 답례\n나눠주지 않으면 안되니까요!
そんな、恐縮すぎます……！\n先月何もできなかったの、一\n生の不覚なんですから……！,아니、너무 감사한데요!\n지난달 아무것도 못 해드린 거、일생일대의 실수인데……!
わぁっ……！　頂いちゃって\nいいんですか……！？　えへ\nへ、ありがとうございます！,와앗…! 받아도\n좋습니까…!? \n에헤헤、감사합니다!
え！？　あ……アタシ、何か\nしたっけ……──あ、いや\nなんでもねーよ……さんきゅ,에!? 나… 나、뭔가\n했던가… 아、아니\n아무것도 아니야… 땡큐
──あ、アタシにか！！？\n……なら、もっとちゃんとし\nたの渡しときゃよかった……,─나、나한테 주는거야!? \n…그럼、좀 더 제대로 된 걸\n줄 걸 그랬어……
ねえ、プロデューサーには\n私の感謝の気持ち、\n届かなかったのかしら……？,저기、프로듀서에게는\n내 감사의 마음、\n전해지지 않았던걸까…?
あら、これって……！\nありがとう、頂くわ。お返し\n期待していてちょうだい！,아라、이것은…! \n고마워、잘 받을게. 답례\n기대하고 있어 줘!
うふふ、うれしいわ\nお返しがあるってことは、\n気持ちが伝わったのよね？,우후후、기쁘네\n답례가 있다는 것은、\n마음이 전해졌다는 거겠지?
プロデューサーさん！\nなーんか、忘れちゃってたり\nしないかな～、なんて,프로듀서씨!\n뭔~가、잊고 있다거나\n하지 않은걸까~、라던가
えーっ！　もらっていいの？\n今度、ぜーったい\nお礼するからね☆,엣! 받아도 좋은거야? \n이거、절대\n답례할께요☆
素敵なお返し、ありがと！\nえへへ、もったいなくて\n食べられないかも☆,멋진 답례、고마워요! \n에헤헤、아까워\n먹을 수 없을지도☆
これ、もらっていいの……？\nにへへ、ありがと……\nでも、なんでだっけ……？,이거、받아도 좋은거야…? \n니헤헤、고마워요…\n하지만、왜 그런걸…?
甜花の、へたっぴだった……\nでも、もらっていいの……？\nなら……一緒に食べたい、な,텐카의、실수였다…\n하지만、받아도 좋은거야…? \n그러면… 함께 먹고 싶은、
プロデューサーさ〜ん……\n……私、期待しちゃってた\nみたいです……,프로듀서씨…\n… 저、기대하고 있었던것\n같아요……
そっかぁ、今日はホワイト\nデーでしたね……！　ふふっ\nありがとうございます♪,그런가、오늘은 화이트\n데이였지요……! 후후\n감사합니다♪
わ……！　お返しなんて……\nでも、とっても嬉しいですっ\n……ありがとうございます,와…! 답례라니……\n하지만、매우 기쁩니다 \n… 감사합니다
マシュマロクッキーを作ったんです。プロデューサーさんも、おひとついかがですか？,마쉬멜로 쿠키를 만들어봤어요. 프로듀서도、한개 어떠세요?
ほわっ……このプレゼントは……？　えっと、あのっ……あ、ありがとうございますっ,호왓…… 이 선물은……? 엣또、저…… 가、감사합니닷
あ、ありがとうございますっ\n……大事に、いただきますね\nプロデューサーさん……っ,가、감사합니다 \n…… 소중하게、받을게요\n프로듀서씨……
プロデューサー……\nあの……チョコレート……\nお口に合いませんでしたか？,프로듀서…\n저기… 그 초콜릿…\n입에 맞지 않으셨나요?
そ、そんな……悪いです！\n私からは何も……\nお渡しできていないのに,그、그런… 죄송해서! \n저는 아무것도…\n드린게 없는데
え？　お返し、ですか……？\n……ありがとうございます\nしっかり、味わって食べます,에? 답례、입니까……? \n…… 감사합니다 \n확실히、음미하면서 먹을게요
ねぇねぇ、プロデューサー！\nクイズだよっ！\n今日は何の日でしょうか！,있지있지、프로듀서! \n퀴즈라구! \n오늘은 무슨 날일까~요!
わぁ！　これ、くれるの？\nありがとうプロデューサー！\n大事に食べるねっ,와아! 이거、주는거야? \n고마워요 프로듀서! \n소중하게 먹을께
お返し目当てだったんじゃな\nいよ？　でも、ありがとう！\n今すぐ食べてもいいかなっ？,답례받는게 목적이 아니었다구\n그렇지만、고마워요! \n지금 먹어도 괜찮을까?
白くてやわらかかやつとか～\n茶色のサクサクのやつとか～\nん～、なんか忘れとらん～？,흰색에 말랑한 거라던가~\n갈색의 바삭한거라던가~\n으~、뭔가 잊은게 있지않앙?
う、うちも……！\nこの間、渡せんかったけん\n交換したか……！,나、나도……! \n이번에、못 줬응께\n교환이라잉……!
ぷ、プロデューサー……\nバレンタインにうちが言うた\nこと、覚えとる……？,프、프로듀서……\n발렌타인 때 내가 한말\n기억하고 있엉……?
私、なんだか甘い物が食べた\nい気分ですー。……忘れてる\nなら別にいいですケドー……,저、뭔가 단게 먹고\n싶은 기분이에요…잊었다면\n별로 상관없지만요…
急になんですかぁ？\n……でも、ふふー\nお菓子ゲットー,갑자기 뭐에요? \n…그래도、후후―\n과자 Get
──え\n……ぁ、……そ、そーいうん\nじゃなかったんですケド……,─어\n… 아、… 그、그런 의미\n가 아니었는데요……
おてんとさんはぴっかぴかで、\n風もびゅんびゅんして──\nこいは、その記念～！,햇님은 팔팔하고、\n바람도 많이 불어서──\n이건 그 기념~!
まさかこんなに早く\nこのドレスを着ることになるとは思わなかったわ,설마 이렇게 빨리\n이 드레스를 입을 일이 생길거라곤 생각하지 않았어요
手、出してほしいっす\nプロデューサーさんにも\nクワガタ見せたいんで,﻿손、내줬음 함다\n프로듀서 씨한테도\n사슴벌레를 보여주고 싶으니
わたしたちの光\n受け止めてほしいっす！\nさぁ、行くっすよ！,우리들의 빛\n받아들여 줬음 함다!\n자、간다구여!
あっつーい！\nこんな時は、冷たいものがほし\nくなっちゃうよーっ！,더워ー! \n이런 때는、차가운걸\n원하게 돼!
準備はできてるかなー？\n最後まで、フルスロットルで楽\nしもうねっ！,준비는 돼 있지ー?\n마지막까지、풀 스로틀로\n즐기자!
お願いごと……アイドルとして頑張っていれば、あの星まで届くでしょうか……？,소원…… 아이돌로서 노력하고 있으면、그 별까지 닿을까요……?
お願いごと、何にしよ……\n……あ、そうだ……お仕事の日、起きれますように……！,소원、무엇으로 하지…\n…아、그래…영업있는 날、일어날 수 있길…!
甜花ちゃんと一年に一回しか会えないなんて甘奈は絶対に無理！　織姫と彦星は強いなぁ……,텐카쨩과 일년에 한번 밖에 만날 수 없다니 아마나는 절대로 무리! 직녀와 견우는 강하구나…
短冊には『トップアイドル』\nもちろん、そう書いたわ！\n……アナタもそうでしょう？,소원종이에는 『톱 아이돌』\n물론、그렇게 썼어! \n…당신도 그렇겠죠?
金銀砂子……\n再び……まみえることを……\n祝福する光……,금은모래…\n다시…만나는 것을…\n축복하는 빛…
ふ～んふ～ふ～……\nうわっ！　プロデューサー\nいたのかよ……！,흥흥~흥~……\n우왓! 프로듀서\n있었어…!
給食で、七夕ゼリーって出ませんでしたか？　星型の果物とかが入ってるやつです！,급식으로、칠석 젤리는 나오지 않았습니까? 별모양 과일이라든지 들어있는 것입니다!
星がたっくさん集まると、おっきな川に変身します……！\nとーっても不思議ですっ！,별이 많이 모이면、큰 강으로 변신합니다…!\n이라고해도 이상합니닷!
お昼のあいだも……\n光ってるんです……\nお星さまたち……,점심 시간동안도…\n빛나고 있습니다…\n별님들……
織姫も彦星もさぁ、サボるならもっと上手くやらなきゃだったよねぇ,직녀도 견우도、게으름 피울거면 좀 더 능숙하게 했어야 했잖아
短冊に何と書いたんだい？\nいや……もし私に叶えられるものならいいな、と思ってね,소원종이에 뭐라고 썼어? \n아니…만약 나에게 실현될 수 있는 것이면 좋겠다、라고 생각해
短冊に書くのって、どんな願いごとでもいいんですかぁ？\nふふー、何から書こうかなぁ,소원종이에 쓰는 것은、어떤 거라도 좋습니까? \n후후―、무엇부터 쓸까
一年にいっぺんしか会えんなんて、うちならぜーったいに\n耐えられんばい……！,일년에 한번 밖에 만날 수 없어、나라면 절대로\n못참는당께…!
夏の大三角……\nわたしたちみたいだなーって！\nえへへ、だって星だからね！,여름철 대삼각형……\n우리들 보고싶어! \n에헤헤、왜냐면 별이니까!
願いごとは教えられません……！　誰かに言ったら、叶わなくなりそうなので……秘密です,소원은 가르쳐 드릴 수 없습니다…! 누군가에게 말하면、실현되지 않게 될것 같아서…비밀입니다
ふふっ、いろんな色の七夕飾りを見ていると、なんだかウキウキしてきますっ,후훗、여러가지 색의 칠석장식을 보고 있으면、왠지 두근두근 해집니닷
